salesID,lastSalePrice,lastSaleDate
118,68500.0,1985-02-26T00:00:00.000Z
119,550000.0,2020-10-07T00:00:00.000Z
120,310000.0,2020-10-07T00:00:00.000Z
121,120100.0,2013-09-27T00:00:00.000Z
122,0.0,2023-03-14T00:00:00.000Z
123,0.0,1999-01-06T00:00:00.000Z
124,0.0,2020-11-06T00:00:00.000Z
125,0.0,1996-05-15T00:00:00.000Z
126,0.0,2014-04-16T00:00:00.000Z
127,150000.0,2019-05-16T00:00:00.000Z
128,0.0,2015-09-18T00:00:00.000Z
129,0.0,2016-08-08T00:00:00.000Z
130,397500.0,2024-04-09T00:00:00.000Z
131,826000.0,2004-11-03T00:00:00.000Z
132,0.0,2020-09-17T00:00:00.000Z
133,252000.0,2020-06-30T00:00:00.000Z
134,210000.0,2012-07-18T00:00:00.000Z
135,308602.0,2021-07-20T00:00:00.000Z
136,374950.0,2005-06-27T00:00:00.000Z
137,3070000.0,2013-02-04T00:00:00.000Z
138,228000.0,2018-09-28T00:00:00.000Z
139,165000.0,2000-11-13T00:00:00.000Z
140,555000.0,2024-04-23T00:00:00.000Z
141,299000.0,2004-09-09T00:00:00.000Z
142,249900.0,2021-04-02T00:00:00.000Z
143,162000.0,2011-08-16T00:00:00.000Z
144,117000.0,2011-12-09T00:00:00.000Z
145,296000.0,2020-11-12T00:00:00.000Z
146,238800.0,2019-07-12T00:00:00.000Z
147,70000.0,2016-03-03T00:00:00.000Z
148,192000.0,2001-02-27T00:00:00.000Z
149,28000.0,2013-09-30T00:00:00.000Z
150,67000.0,2020-07-28T00:00:00.000Z
151,270000.0,2020-12-24T00:00:00.000Z
152,0.0,2008-06-17T00:00:00.000Z
153,234219.0,2011-09-28T00:00:00.000Z
154,169000.0,2000-03-28T00:00:00.000Z
155,0.0,2011-03-07T00:00:00.000Z
156,177000.0,2019-07-03T00:00:00.000Z
157,0.0,2021-08-09T00:00:00.000Z
158,1250000.0,2021-09-24T00:00:00.000Z
159,164000.0,2020-12-22T00:00:00.000Z
160,880000.0,2022-07-20T00:00:00.000Z
161,123000.0,2009-01-27T00:00:00.000Z
162,1155000.0,2021-04-12T00:00:00.000Z
163,371000.0,2021-08-10T00:00:00.000Z
164,169000.0,2016-01-20T00:00:00.000Z
165,140000.0,2009-07-13T00:00:00.000Z
166,260000.0,2009-03-12T00:00:00.000Z
167,400000.0,2022-05-10T00:00:00.000Z
168,92871.0,2018-10-22T00:00:00.000Z
169,0.0,2012-07-11T00:00:00.000Z
170,0.0,2022-02-01T00:00:00.000Z
171,0.0,2014-03-24T00:00:00.000Z
172,235000.0,2019-06-24T00:00:00.000Z
173,0.0,2011-08-22T00:00:00.000Z
174,1025000.0,2014-12-08T00:00:00.000Z
175,0.0,2018-07-30T00:00:00.000Z
176,63000.0,2000-04-24T00:00:00.000Z
177,15000.0,2001-01-02T00:00:00.000Z
178,251000.0,2006-07-06T00:00:00.000Z
179,630000.0,2020-07-30T00:00:00.000Z
180,147000.0,1997-10-15T00:00:00.000Z
181,0.0,2000-09-01T00:00:00.000Z
182,350000.0,2018-10-17T00:00:00.000Z
183,0.0,2004-12-09T00:00:00.000Z
184,0.0,2017-06-20T00:00:00.000Z
185,212000.0,2013-11-12T00:00:00.000Z
186,515000.0,2013-09-25T00:00:00.000Z
187,159000.0,1997-03-11T00:00:00.000Z
188,100000.0,2016-09-16T00:00:00.000Z
189,2617.0,2022-07-25T00:00:00.000Z
190,344375.0,1998-10-01T00:00:00.000Z
191,442000.0,2021-02-03T00:00:00.000Z
192,159000.0,2019-06-25T00:00:00.000Z
193,180000.0,2017-06-09T00:00:00.000Z
194,263000.0,2015-01-08T00:00:00.000Z
195,203000.0,2017-10-02T00:00:00.000Z
196,1515000.0,2021-04-06T00:00:00.000Z
197,117900.0,2005-09-12T00:00:00.000Z
198,510000.0,2001-05-04T00:00:00.000Z
