featuresID,propertyType,bathrooms,bedrooms,architectureType,cooling,coolingType,exteriorType,fireplace,fireplaceType,floorCount,foundationType,garage,garageType,garageSpaces,heating,heatingType,roofType,roomCount,unitCount,pool,poolType,viewType
248,Single Family,3.5,3.0,Conventional,True,Commercial,Siding,True,1 Story Brick Chimney,2.0,Unknown,True,Mixed,0.0,True,Heat Pump,Composition Shingle,0.0,1.0,Unknown,Unknown,Unknown
249,Single Family,2.0,3.0,Split Foyer,True,Central,Vinyl,Unknown,Unknown,2.0,Brick,Unknown,Unknown,0.0,True,Unknown,Asphalt,8.0,0.0,Unknown,Unknown,Unknown
250,Single Family,1.5,1.0,Log Cabin / Rustic,True,Central,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,0.0,True,Forced Air,Composition Shingle,3.0,0.0,Unknown,Unknown,Unknown
251,Single Family,1.5,3.0,Traditional,True,Central,Wood,True,Masonry,2.0,Unknown,True,Attached,0.0,True,Central,Unknown,7.0,1.0,Unknown,Unknown,Unknown
252,Single Family,2.5,2.0,Modern,True,Central,Brick / Stone,True,Unknown,2.0,Unknown,True,Attached,0.0,Unknown,Unknown,Shingle,0.0,1.0,Unknown,Unknown,Unknown
253,Single Family,3.0,3.0,Unkown,True,Central,Unknown,True,Unknown,2.0,Raised,True,Attached,4.0,True,Central,Asphalt,8.0,1.0,Unknown,Unknown,Unknown
254,Single Family,4.5,5.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
255,Condo,2.0,3.0,Condo / Apartment,Unknown,Unknown,Unknown,True,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
256,Single Family,3.0,5.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,True,Garage,2.0,Unknown,Unknown,Unknown,0.0,1.0,True,Pool and Hot Tub / Spa,Unknown
257,Single Family,1.0,3.0,Other,Unknown,Unknown,Asbestos Shingle,True,Unknown,1.0,OTHER,True,Detached,2.0,True,Forced Air,Aluminum,0.0,1.0,Unknown,Unknown,Unknown
258,Single Family,3.0,4.0,Unkown,True,Central,Combination,True,Unknown,2.0,Unknown,True,Basement,0.0,True,Forced Air,Composition Shingle,0.0,1.0,Unknown,Unknown,Unknown
259,Single Family,1.0,3.0,Unkown,Unknown,Unknown,Concrete Block,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Other,0.0,1.0,Unknown,Unknown,Unknown
260,Townhouse,2.0,2.0,Condo / Apartment,Unknown,Unknown,Stucco,Unknown,Unknown,0.0,Unknown,True,Garage,0.0,True,Forced Air,Asphalt,0.0,1.0,True,Community Pool,Unknown
261,Single Family,6.0,6.0,Unkown,True,Central,Wood,True,Masonry,2.0,Concrete,True,Garage,0.0,True,Central,Asphalt,5.0,1.0,Unknown,Unknown,Unknown
262,Single Family,2.0,0.0,Unkown,True,Central,Brick Veneer,True,Unknown,1.0,Slab / Mat / Raft,True,Attached,2.0,True,Central,Composition Shingle,0.0,1.0,True,Unknown,Unknown
263,Single Family,3.5,4.0,Split Level,True,Central,Wood,True,Unknown,2.0,Unknown,True,Attached,0.0,Unknown,Unknown,Shingle,0.0,1.0,Unknown,Unknown,Unknown
264,Single Family,1.0,2.0,Condo / Apartment,True,Refrigeration,Wood,Unknown,Unknown,2.0,Unknown,True,Carport,1.0,True,Forced Air,Built-up (Layered Asphalt),5.0,1.0,Unknown,Unknown,Unknown
265,Single Family,0.0,0.0,Unkown,True,Central,Wood,Unknown,Unknown,1.0,Unknown,True,Attached,2.0,Unknown,Unknown,Unknown,0.0,1.0,Unknown,Unknown,Unknown
266,Single Family,2.0,4.0,Ranch,True,Central,Other,True,Unknown,1.0,Raised,True,Garage,0.0,True,Forced Air,Unknown,8.0,1.0,Unknown,Unknown,Unknown
